matchId,teamId,playerId,number,tries,metresGained,carries,defendersBeaten,cleanBreaks,passes,offloads,turnoversConceded,tryAssists,points,tackles,missedTackles,turnoversWon,kicksInPlay,conversions,penaltyGoals,dropGoals,throwsWon,lineoutsWon,lineoutSteals,penaltiesConceded,redCards,yellowCards
933875,200,32099,17,0,15,12,2,0,4,1,0,0,0,8,0,0,0,0,0,0,0,0,0,2,0,0
933875,200,32103,21,0,25,6,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0
933875,200,32109,1,0,9,4,1,0,3,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
933875,200,34265,8,0,29,6,3,1,2,0,3,0,0,12,0,1,0,0,0,0,0,0,0,2,0,0
933875,200,34427,14,0,24,7,4,0,5,2,0,0,0,8,1,0,1,0,0,0,0,0,0,0,0,0
933875,200,40509,20,0,12,4,1,0,6,1,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0
933875,200,57757,11,2,90,6,3,4,4,0,1,0,10,3,2,0,2,0,0,0,0,0,0,0,0,0
933876,441,17230,10,0,24,4,0,0,13,0,1,0,4,5,3,0,3,2,0,0,0,0,0,0,0,0
933876,441,21899,18,0,0,3,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0
933876,441,28180,21,0,0,0,0,0,16,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0
933876,441,28519,9,0,14,5,1,1,54,0,1,2,0,3,5,0,4,0,0,0,0,0,0,1,0,0
933876,441,29446,8,0,41,7,0,0,4,0,1,0,0,4,1,0,0,0,0,0,0,1,0,1,0,0
933876,441,30799,22,0,0,0,0,0,12,0,0,0,2,7,0,0,4,1,0,0,0,0,0,0,0,0
933876,441,30861,11,0,33,3,0,1,2,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0
933876,441,32751,1,0,5,4,0,0,3,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
933876,441,32824,15,0,34,8,3,0,9,2,2,0,0,3,3,0,1,0,0,0,0,0,0,0,0,0
933876,441,32876,4,0,11,8,2,0,5,0,0,0,0,5,1,0,0,0,0,0,0,5,0,0,0,0
933876,441,34151,17,0,4,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
933876,441,34455,2,2,42,4,3,1,4,0,0,1,10,5,0,0,0,0,0,0,8,0,0,1,0,0
933876,441,34590,19,0,6,2,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0
933876,441,34647,20,0,4,2,0,0,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0
933876,441,34982,16,0,0,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
933876,441,35147,6,1,31,6,0,1,5,3,0,1,5,7,0,1,0,0,0,0,0,1,0,2,0,0
933876,441,35272,3,0,15,7,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0
933876,441,35673,7,0,17,7,1,1,5,1,0,0,0,15,1,1,0,0,0,0,0,0,0,1,0,0
933876,441,37102,5,0,6,7,0,0,2,0,0,0,0,10,1,0,0,0,0,0,0,1,0,0,0,0
933876,441,38793,13,2,50,7,7,1,4,3,0,0,10,7,5,0,0,0,0,0,0,0,0,0,0,0
933876,441,40515,12,0,45,11,4,1,3,2,2,0,0,10,3,0,0,0,0,0,0,0,0,0,0,0
933876,441,44020,14,0,130,13,5,1,10,3,1,2,0,4,2,0,1,0,0,0,0,0,0,1,0,0
933876,441,58917,23,1,28,1,1,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
933876,3600,9023,10,0,41,6,1,0,22,0,1,0,9,4,2,1,3,3,1,0,1,0,0,0,0,0
933876,3600,20725,22,0,0,0,0,0,2,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
933876,3600,21731,17,0,0,2,0,0,1,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0
933876,3600,22539,13,0,27,4,3,1,6,2,2,0,0,8,2,0,0,0,0,0,0,0,0,2,0,0
933876,3600,23604,19,0,0,1,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0
933876,3600,24703,20,0,6,3,0,0,3,0,0,0,0,4,1,0,0,0,0,0,0,1,0,0,0,0
933876,3600,24953,9,0,13,4,0,0,41,1,1,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0
933876,3600,26153,3,1,9,3,2,0,1,0,1,0,5,6,1,0,0,0,0,0,0,0,0,1,0,0
933876,3600,27345,11,0,66,14,2,1,9,3,2,0,0,5,1,0,1,0,0,0,0,0,0,0,0,0
933876,3600,28164,4,0,2,4,0,0,4,0,1,0,0,10,3,0,0,0,0,0,0,4,0,1,0,1
933876,3600,28194,18,0,5,7,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
933876,3600,29511,2,0,3,5,0,0,3,0,0,0,0,9,2,0,0,0,0,0,13,0,0,2,0,0
933876,3600,30895,7,0,10,6,0,0,12,2,2,0,0,14,0,1,0,0,0,0,0,0,0,1,0,0
933876,3600,31444,12,1,51,7,3,1,25,0,1,0,5,5,7,0,6,0,0,0,0,0,0,0,0,0
933876,3600,31482,16,0,6,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
933876,3600,31531,6,1,7,4,1,0,3,1,0,0,5,7,1,1,0,0,0,0,0,1,1,0,0,0
933876,3600,33469,8,0,73,12,4,0,6,1,0,0,0,13,2,0,0,0,0,0,0,2,0,0,0,0
933876,3600,33905,23,0,16,4,3,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0
933876,3600,36012,21,0,27,2,2,1,34,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
933876,3600,37587,5,0,0,2,0,0,5,0,0,0,0,3,0,1,0,0,0,0,0,4,0,1,0,0
933876,3600,39113,14,0,63,11,13,2,2,0,0,0,0,3,2,1,1,0,0,0,0,0,0,0,0,0
933876,3600,39118,15,0,31,9,1,0,16,5,2,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0
933876,3600,39206,1,2,12,3,2,0,2,0,1,1,10,8,1,0,0,0,0,0,0,0,0,1,0,0
933877,93,11612,10,1,18,7,1,0,26,1,2,1,25,4,1,0,11,7,2,0,1,0,0,0,0,0
933877,93,11627,22,0,24,7,0,0,2,0,1,0,0,5,1,0,0,0,0,0,0,0,0,1,0,0
933877,93,19178,3,0,9,6,0,0,1,0,3,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0
933877,93,19785,1,0,0,1,0,0,3,1,0,1,0,6,3,0,0,0,0,0,0,0,0,3,0,0
933877,93,20765,4,0,41,8,2,0,4,1,3,0,0,9,1,2,0,0,0,0,0,1,0,0,0,0
933877,93,21736,19,0,6,1,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
933877,93,23275,6,0,8,5,2,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,1,0,0
